Publication Year,Author,Title,Url,Date,Extra,Manual Tags
2022,"Jiao, X.; Li, X.; Lin, D.; Xiao, W.",A Graph Neural Network Based Deep Learning Predictor for Spatio-Temporal Group Solar Irradiance Forecasting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121795534&doi=10.1109%2fTII.2021.3133289&partnerID=40&md5=d9425130157399c57f93e97f4898b999,2022,50 citations (Semantic Scholar/DOI) [2025-04-09] 59 citations (Crossref/DOI) [2025-04-07] 59 citations (Crossref/DOI) [2025-04-07] 59 citations (Crossref) [2025-04-02] Publisher: IEEE Computer Society,#done; Graph neural networks; Deep learning; Correlation; Predictive models; Long short-term memory; Spatio-temporal; Convolution; Prediction algorithms; notion; Deep neural networks; Electric power transmission networks; Brain; Weather forecasting; Network architecture; Electric power system control; Solar irradiances; Solar power generation; Solar radiation; Convolutional graph neural network (ConvGNN); Deep learning neural network; Deep learning neural network (NN); Learning neural networks; Long-short-term memory (LSTM); Memory architecture; Photovoltaic cells; Solar irradiance forecasting; Spatio-temporal irradiance prediction; #forecasting
2024,"Jiang, W.; Liu, B.; Liang, Y.; Gao, H.; Lin, P.; Zhang, D.; Hu, G.",Applicability analysis of transformer to wind speed forecasting by a novel deep learning framework with multiple atmospheric variables,https://linkinghub.elsevier.com/retrieve/pii/S0306261923015192,2024-01,17 citations (Semantic Scholar/DOI) [2025-11-26] 38 citations (Semantic Scholar/DOI) [2025-04-09] 36 citations (Crossref) [2025-04-02] Publisher: Elsevier Ltd,#done; Graph neural networks; Graph neural network; Forecasting; Long short-term memory; Transformer; Wind speed; #Check; learning; Learning frameworks; Applicability analysis; atmospheric electricity; Atmospheric variables; Efficient managements; Electric power systems; Multiple atmospheric variable; Multiple atmospheric variables; Performance; power generation; Short-term forecasting; Variational mode decomposition; Wind speed forecasting; wind velocity; #forecasting
2022,"Islam, M.A.; Ismail, M.; Boyaci, O.; Atat, R.; Shannigrahi, S.",Graph Neural Network Based Prediction of Data Traffic in Cyber-Physical Smart Power Grids,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144178350&doi=10.1109%2fSmartGridComm52983.2022.9960963&partnerID=40&md5=c7c929f8de979daa636d8b5841c18e47,2022-10,"3 citations (Semantic Scholar/DOI) [2025-11-26] 2 citations (Semantic Scholar/DOI) [2025-04-09] 2 citations (Crossref/DOI) [2025-04-07] 2 citations (Crossref) [2025-04-02] Journal Abbreviation: IEEE Int. Conf. Commun., Control, Comput. Technol. Smart Grids, SmartGridComm",#done; Power grids; Graph neural networks; Network-based; graph neural network; Forecasting; Anomaly detection; Long short-term memory; Network security; Data-driven model; Topology; machine learning; Machine-learning; notion; Smart power grids; Stochastic systems; Multilayer neural networks; Crime; Gradient methods; Model-based OPC; Information management; Emergency conditions; Event-driven; smart power grid; Traffic data; Traffic prediction; #data-management
2023,"Islam, M.A.; Ismail, M.; Atat, R.; Boyaci, O.; Shannigrahi, S.",Proactive Routing Strategy in SDN-Based Smart Power Grids Using Graph Neural Network and Reinforcement Learning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162200696&doi=10.1016%2fj.prime.2023.100187&partnerID=40&md5=c4b2440d7c992fd0afce9835a6863ee3,2023,0 citations (Semantic Scholar/DOI) [2025-11-26] 5 citations (Semantic Scholar/DOI) [2025-04-09] 6 citations (Crossref/DOI) [2025-04-07] 6 citations (Crossref) [2025-04-02] Publisher: Elsevier Ltd,#done; Graph neural network; Reinforcement learning; notion; Traffic prediction; Machine learning-based routing; Smart power grid; Software-defined networking; #data-management
2024,"Ida Evangeline, S.; Darwin, S.; Peter Anandkumar, P.; Chithambara Thanu, M.",Anomaly detection in smart grid using a trace-based graph deep learning model,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188325172&doi=10.1007%2fs00202-024-02327-6&partnerID=40&md5=5f7f8547b28da9c4819c2aad8d225820,2024,3 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref) [2025-04-02] Publisher: Springer Science and Business Media Deutschland GmbH,#done; Graph neural networks; Graph neural network; Smart grid; Deep learning; Anomaly detection; Energy-consumption; Learning systems; notion; Smart power grids; Electric power; Electric power utilization; Anomaly detection models; Learning models; Energy consumption; Energy wastes; Spatial attribute; Spatio-temporal learning; #faults-reliability
2023,"Huang, C.; Du, N.; He, J.; Li, N.; Feng, Y.; Cai, W.",Multidimensional Feature-Based Graph Attention Networks and Dynamic Learning for Electricity Load Forecasting,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172723150&doi=10.3390%2fen16186443&partnerID=40&md5=c1d2b4300438f03653bcac00e9aa1617,2023,1 citations (Semantic Scholar/DOI) [2025-04-09] 1 citations (Crossref/DOI) [2025-04-07] 1 citations (Crossref) [2025-04-02] Publisher: Multidisciplinary Digital Publishing Institute (MDPI),#done; Graph neural networks; Long short-term memory; Load forecasting; Electric power plant loads; Learning systems; notion; Multilayer neural networks; Electric load forecasting; graph attention network; Graph attention network; Electricity load forecasting; Load data; load forecasting; Feature-based; Dynamic evolution; Load sequences; temporal difference information; Temporal difference information; Temporal differences; Time points; #forecasting
2023,"Hu, N.; Wang, G.; Yang, Y.; IEEE; Lanzhou Jiaotong University; School of New Energy and Power Engineering",Wind Power Forecasting Based on Adaptive Spatio-Temporal Graph Neural Network,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179760908&doi=10.1109%2fICSGSC59580.2023.10319230&partnerID=40&md5=a1882c35066b3dca660bd344489291ef,9/22/23,"0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02] Journal Abbreviation: Int. Conf. Smart Grid Smart Cities, ICSGSC",#done; Graph neural networks; graph neural network; Wind turbines; Spatio-temporal; Gated recurrent unit; Wind power forecasting; notion; Wind power; Weather forecasting; Spatio-temporal relationships; Spatio-temporal graphs; Recurrent neural networks; Power system operations; wind power forecasting; Spatial features; gated recurrent unit; Decoding; spatio-temporal; encoder-decoder; Encoder-decoder; Grid operation; Network coding; #forecasting
2019,"Khodayar, Mahdi; Wang, Jianhui",Spatio-Temporal Graph Deep Neural Network for Short-Term Wind Speed Forecasting,https://ieeexplore.ieee.org/document/8371625/,2019-04,353 citations (Semantic Scholar/DOI) [2025-11-26] 305 citations (Semantic Scholar/DOI) [2025-04-09] 305 citations (Semantic Scholar/DOI) [2025-04-09] 336 citations (Crossref/DOI) [2025-04-07] 335 citations (Crossref) [2025-04-02],#done; notion; #forecasting
2020,"Khodayar, Mahdi; Mohammadi, Saeed; Khodayar, Mohammad E.; Wang, Jianhui; Liu, Guangyi",Convolutional Graph Autoencoder: A Generative Deep Neural Network for Probabilistic Spatio-Temporal Solar Irradiance Forecasting,https://ieeexplore.ieee.org/document/8663347/,2020-04,116 citations (Semantic Scholar/DOI) [2025-04-09] 132 citations (Crossref/DOI) [2025-04-07] 132 citations (Crossref) [2025-04-02],#done; notion; #forecasting
2023,"Keçeci, Cihat; Davis, Katherine R.; Serpedin, Erchin",Federated Learning Based Distributed Localization of False Data Injection Attacks on Smart Grids,http://arxiv.org/abs/2306.10420,6/17/23,0 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2306.10420 [cs],#done; #cybersecurity
2021,"Karimi, Ahmad Maroof; Wu, Yinghui; Koyuturk, Mehmet; French, Roger H.",Spatiotemporal Graph Neural Network for Performance Prediction of Photovoltaic Power Systems,https://ojs.aaai.org/index.php/AAAI/article/view/17799,5/18/21,58 citations (Semantic Scholar/DOI) [2025-11-26] 44 citations (Semantic Scholar/DOI) [2025-04-09] 37 citations (Crossref/DOI) [2025-04-07] 30 citations (Crossref) [2025-04-02] Number: 17,#done; notion; #forecasting
2021,"Jeddi, Ashkan B.; Shafieezadeh, Abdollah",A Physics-Informed Graph Attention-based Approach for Power Flow Analysis,https://ieeexplore.ieee.org/document/9680165/,2021-12,22 citations (Semantic Scholar/DOI) [2025-11-26] 15 citations (Semantic Scholar/DOI) [2025-04-09] 13 citations (Crossref/DOI) [2025-04-07] 13 citations (Crossref) [2025-04-02],#done; Power grids; Graph neural networks; Deep learning; Power flow; Power flows; Attention mechanisms; Electric load flow; Efficient power; Power flow analyze; notion; Electric power transmission networks; Flow graphs; Risk assessment; Graph attention network; Electric power transmission; Self-attention mechanism; Graph attention networks; Physics-informed Deep Learning; Computationally efficient; Physic-informed deep learning; #grid-analysis
2024,"Islam, Md Aminul; Atat, Rachad; Ismail, Muhammad",Software-Defined Networking-Based Resilient Proactive Routing in Smart Grids Using Graph Neural Networks and Deep Q-Networks,https://ieeexplore.ieee.org/document/10623446/,2024,2 citations (Semantic Scholar/DOI) [2025-04-09] 2 citations (Crossref/DOI) [2025-04-07] 2 citations (Crossref) [2025-04-02],#done; Graph neural networks; graph neural network; Smart grid; Predictive models; Reinforcement learning; Smart power grids; Deep neural networks; Load modeling; Smart grids; Software defined networking; Quality of service; Delay; data traffic prediction; deep Q-networks; resilient proactive routing; software-defined routing; Routing algorithms; Routings; Data traffic predictions; Deep Q-network; Proactive routing; Quality-of-service; Resilient proactive routing; Software-defined routing; Traffic control; #data-management
2021,"Hüttel, Frederik Boe; Peled, Inon; Rodrigues, Filipe; Pereira, Francisco C.",Deep Spatio-Temporal Forecasting of Electrical Vehicle Charging Demand,http://arxiv.org/abs/2106.10940,6/21/21,13 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2106.10940 [cs],#done; #forecasting
2024,"Huangfu, Hancong; Wang, Yongcai; Guan, Zhaoxiong",Non-intrusive power load decomposition method based on message passing graph neural network,https://dx.doi.org/10.1088/1742-6596/2917/1/012034,2024-12,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] Publisher: IOP Publishing,#done; #forecasting
2023,"Huang, Nantian; Wang, Shengyuan; Wang, Rijun; Cai, Guowei; Liu, Yang; Dai, Qianbin",Gated spatial-temporal graph neural network based short-term load forecasting for wide-area multiple buses,https://www.sciencedirect.com/science/article/pii/S0142061522006470,2/1/23,57 citations (Semantic Scholar/DOI) [2025-04-09] 55 citations (Crossref/DOI) [2025-04-07] 54 citations (Crossref) [2025-04-02],#done; notion; #forecasting
2024,"Hosseini, Ilia; Dietz, Thomas",GNN4GC—Graph Neural Networks for Grid Control,https://link.springer.com/10.1007/s00502-024-01291-0,2024-12,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; Graph neural networks; Network topology; Neural-networks; Topology optimisation; Load flow control; Load flow optimization; Deep reinforcement learning; Reinforcement learnings; Reinforcement learning; Electric load flow; Network theory (graphs); Smart power grids; Electric utilities; Grid topology; Benchmarking; Neural network; Linear programming; Transmission network calculations; Artificial intelligence in grid operation; Topology optimization; Grid operation; Electric network topology; Grid control; Energy transfer; Critical path analysis; Optimal topologies; Transmission system operators; #optimization-control
2021,"Hossain, Md Jakir; Rahnamay-Naeini, Mahshid",State Estimation in Smart Grids Using Temporal Graph Convolution Networks,https://ieeexplore.ieee.org/document/9654642/,11/14/21,27 citations (Semantic Scholar/DOI) [2025-11-26] 25 citations (Semantic Scholar/DOI) [2025-04-09] 14 citations (Crossref/DOI) [2025-04-07] 14 citations (Crossref) [2025-04-02],#done; Graph neural networks; Graph Neural Networks; Smart grid; Phasor measurement units; Phasor Measurement Units; State Estimation; Convolution; Temporal graphs; Smart Grid; notion; Smart power grids; Measurement data; Electric power transmission networks; State estimation; Observability; Convolution neural network; Graph convolution network; Message passing; GRU; Cyber and Physical Systems; Graph Convolution Networks; Cyber systems; Large volumes; Physical systems; #grid-analysis
2024,"Hassouna, Mohamed; Holzhüter, Clara; Lytaev, Pawel; Thomas, Josephine; Sick, Bernhard; Scholz, Christoph",Graph Reinforcement Learning in Power Grids: A Survey,http://arxiv.org/abs/2407.04522,7/30/24,3 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2407.04522 [cs],#done; #ReviewIdeas; #survey
2023,"Hansen, Jonas Berg; Anfinsen, Stian Normann; Bianchi, Filippo Maria",Power Flow Balancing With Decentralized Graph Neural Networks,https://ieeexplore.ieee.org/document/9847037/,2023-05,30 citations (Semantic Scholar/DOI) [2025-04-09] 26 citations (Crossref/DOI) [2025-04-07] 25 citations (Crossref) [2025-04-02],#done; Graph neural networks; Deep learning; Power flow problem; Power flows; Electric load flow; machine learning; Machine-learning; notion; Computer architecture; Electric power transmission networks; Load modeling; Flow graphs; Network architecture; Task analysis; Generator; Computational modelling; Localised; power flow problem; Balancing; Flow balancing; #optimization-control
2024,"Han, Xiaojuan; Li, Haoyu; Xu, Minglu; He, Ziliang; Li, Bin",Abnormal Electricity Consumption Behavior Identifying Method with Multiple Types of Users Based on Bo-Gcn,https://papers.ssrn.com/abstract=4816688,5/3/24,4 citations (Semantic Scholar/DOI) [2025-11-26] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; #faults-reliability
2023,"Hammer, Florian; Helbig, Nora; Losinger, Thomas; Barber, Sarah",Graph machine learning for predicting wake interaction losses based on SCADA data,https://dx.doi.org/10.1088/1742-6596/2505/1/012047,2023-05,3 citations (Semantic Scholar/DOI) [2025-04-09] 1 citations (Crossref/DOI) [2025-04-07] 1 citations (Crossref) [2025-04-02] Publisher: IOP Publishing,#done; notion; #forecasting
2023,"Guddanti, Kishan Prudhvi; Weng, Yang; Marot, Antoine; Donnot, Benjamin; Panciatici, Patrick",Graph Neural Networks for Voltage Stability Margins With Topology Flexibilities,https://ieeexplore.ieee.org/document/9962773/,2023,5 citations (Semantic Scholar/DOI) [2025-04-09] 8 citations (Crossref/DOI) [2025-04-07] 8 citations (Crossref) [2025-04-02],#done; Graph neural networks; Electric load flow; Learning systems; machine learning; Machine-learning; notion; Flow graphs; Power control; Convolution neural network; Energy resources; Distributed Energy Resources; Graph convolution neural network; AC power flow; Control actions; graph convolution neural networks; topology switching; Topology switching; Voltage collapse; Voltage stability margins; #faults-reliability
2024,"Ghamizi, Salah; Ma, Aoxiang; Cao, Jun; Rodriguez Cortes, Pedro",OPF-HGNN: Generalizable Heterogeneous Graph Neural Networks for AC Optimal Power Flow,https://ieeexplore.ieee.org/document/10688560/,7/21/24,1 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; Graph neural networks; Graph algorithms; Graph Neural Network; Electric load flow; Network theory (graphs); Smart power grids; Electric power transmission networks; Flow graphs; Heterogeneous graph; Grid topology; Robustness; OPF; Generalisation; Heterogeneous graph neural network; Heterogeneous GNN; Physics-Informed; Physic-informed; Grid network; #optimization-control
2024,"Gao, Maosheng; Yu, Juan; Yang, Zhifang; Zhao, Junbo",Physics Embedded Graph Convolution Neural Network for Power Flow Calculation Considering Uncertain Injections and Topology,https://ieeexplore.ieee.org/document/10176302/,2024,10 citations (Semantic Scholar/DOI) [2025-04-09] 8 citations (Crossref/DOI) [2025-04-07] 3 citations (Crossref) [2025-04-02],#done; notion; #grid-analysis
2024,"Gao, Liqian; Fang, Jiakun; Ai, Xiaomeng; Wei, Lishen; Cui, Shichang; Yao, Wei; Wen, Jinyu",A Topology-Guided Learning Framework for Security-Constraint Unit Commitment,https://papers.ssrn.com/abstract=4718365,2/6/24,0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; #optimization-control
2023,"Falconer, Thomas; Mones, Letif",Leveraging Power Grid Topology in Machine Learning Assisted Optimal Power Flow,https://ieeexplore.ieee.org/document/9810496/,2023-05,46 citations (Semantic Scholar/DOI) [2025-04-09] 34 citations (Crossref/DOI) [2025-04-07] 33 citations (Crossref) [2025-04-02],#done; notion; #optimization-control
2020,"Donon, Balthazar; Clément, Rémy; Donnot, Benjamin; Marot, Antoine; Guyon, Isabelle; Schoenauer, Marc",Neural networks for power flow: Graph neural solver,https://linkinghub.elsevier.com/retrieve/pii/S0378779620303515,2020-12,83 citations (Semantic Scholar/DOI) [2025-04-09] 65 citations (Crossref/DOI) [2025-04-07] 65 citations (Crossref) [2025-04-02],#done; Graph neural networks; Power flow; Electric load flow; notion; Computer architecture; Neural networks; Electric power transmission networks; Flow graphs; Network architecture; Electric power transmission; Artificial neural networks; Risk perception; Computational speed; Graph neural solver; Solver; Transmission system operators; Computational time; Kirchhoff's laws; Parallel Computation; Power flow computation; Probabilistic approaches; #grid-analysis
2019,"Dinesh, Chinthaka; Makonin, Stephen; Bajic, Ivan V.",Residential Power Forecasting Using Load Identification and Graph Spectral Clustering,https://ieeexplore.ieee.org/document/8606124/,2019-11,53 citations (Semantic Scholar/DOI) [2025-11-26] 49 citations (Semantic Scholar/DOI) [2025-04-09] 33 citations (Crossref/DOI) [2025-04-07] 33 citations (Crossref) [2025-04-02],#done; notion; #forecasting
2021,"de Freitas, Jonas Teixeira; Coelho, Frederico Gualberto Ferreira",Fault localization method for power distribution systems based on gated graph neural networks,https://doi.org/10.1007/s00202-021-01223-7,10/1/21,20 citations (Semantic Scholar/DOI) [2025-04-09] 17 citations (Crossref/DOI) [2025-04-07] 17 citations (Crossref) [2025-04-02],#done; Graph neural networks; Fault localization; Distribution networks; Topology; notion; Neural networks; Graph structures; Power distribution system; Fault location; Electric power systems; Graph neural network (GNN); Automatic fault localizations; Distribution feeders; Electrical characteristic; Feeding; Network re-configuration; Node prediction; Power systems operation; #faults-reliability
2024,"Chen, Zhigang; Peng, Haotian; Su, Yongxin",Nonintrusive load disaggregation by fusion of graph signal processing and CNN,https://dx.doi.org/10.1088/1742-6596/2853/1/012061,2024-10,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] Publisher: IOP Publishing,#done; #forecasting
2020,"Chen, Kunjin; Hu, Jun; Zhang, Yu; Yu, Zhanqing; He, Jinliang",Fault Location in Power Distribution Systems via Deep Graph Convolutional Networks,https://ieeexplore.ieee.org/document/8892483/,2020-01,208 citations (Semantic Scholar/DOI) [2025-04-09] 208 citations (Semantic Scholar/DOI) [2025-04-09] 220 citations (Crossref/DOI) [2025-04-07] 220 citations (Crossref) [2025-04-02],#done; notion; #faults-reliability
2023,"Chanda, Dibaloke; Soltani, Nasim Yahya",A Heterogeneous Graph-Based Multi-Task Learning for Fault Event Diagnosis in Smart Grid,http://arxiv.org/abs/2309.09921,9/18/23,14 citations (Semantic Scholar/arXiv) [2025-11-26] 3 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2309.09921 [cs],#done; #XAI; #faults-reliability
2022,"Boyaci, Osman; Narimani, M. Rasoul; Davis, Katherine; Serpedin, Erchin",Infinite Impulse Response Graph Neural Networks for Cyberattack Localization in Smart Grids,http://arxiv.org/abs/2206.12527,6/24/22,"8 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2206.12527 [cs, eess]",#done; #cybersecurity
2022,"Bentsen, Lars Ødegaard; Warakagoda, Narada Dilp; Stenbro, Roy; Engelstad, Paal",Wind Park Power Prediction: Attention-Based Graph Networks and Deep Learning to Capture Wake Losses,https://dx.doi.org/10.1088/1742-6596/2265/2/022035,2022-05,18 citations (Semantic Scholar/DOI) [2025-11-26] 12 citations (Semantic Scholar/DOI) [2025-04-09] 3 citations (Crossref/DOI) [2025-04-07] 3 citations (Crossref) [2025-04-02] Publisher: IOP Publishing,#done; notion; #forecasting
2024,"Al-Ibraheemi, Zainab; Al-Janabi, Samaher",Sustainable energy: Advancing wind power forecasting with grey wolf optimization and GRU models,https://linkinghub.elsevier.com/retrieve/pii/S259012302401185X,2024-12,24 citations (Semantic Scholar/DOI) [2025-11-26] 5 citations (Semantic Scholar/DOI) [2025-04-09] 3 citations (Crossref/DOI) [2025-04-07],#done; #forecasting
2024,"Ahmed, Shihab; Sun, Wei",Advancing the MILP-Based Load Restoration with Graph Neural Networks,https://ieeexplore.ieee.org/document/10472188/,2/12/24,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; Graph neural networks; Power; Smart grid; Cybe-physical systems; Cyber-physical systems; Electric power distribution; notion; Smart power grids; Restoration; Branch and bounds; Branch-and-bound; Integer programming; System calls; Embedded systems; Combinatorial optimization; Power system restoration; Load restoration; MILP; #optimization-control
,"Aboutalebi Zonouz, Mirkarim; Tarafdar Hagh, Mehrdad",Graph Neural Network for Power Flow Considering Line and Generator Contingencies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4480802,,,#done; #optimization-control
2024,"Donon, Balthazar; Cubelier, François; Karangelos, Efthymios; Wehenkel, Louis; Crochepierre, Laure; Pache, Camille; Saludjian, Lucas; Panciatici, Patrick",Topology-Aware Reinforcement Learning for Tertiary Voltage Control,https://orbi.uliege.be/handle/2268/315490,6/4/24,,#done; #optimization-control
2023,"Tschora, Léonard; Pierre, Erwan; Plantevit, Marc; Robardet, Céline",Forecasting Electricity Prices: An Optimize Then Predict-Based Approach,,2023,1 citations (Semantic Scholar/DOI) [2025-04-09] 1 citations (Crossref/DOI) [2025-04-07] 1 citations (Crossref) [2025-04-02],#done; notion; #forecasting
,"Tianjiao, PU; Yuanpeng, TAN; Zhenyuan, MA; Jiannan, XU",Graph Computing Based Knowledge Reasoning in Electric Power System Considering Knowledge Graph Sparsity,,,,#done; notion; #data-management
2024,"Theiler, Raffael; Fink, Olga",Graph Neural Networks for Electric and Hydraulic Data Fusion to Enhance Short-term Forecasting of Pumped-storage Hydroelectricity,http://arxiv.org/abs/2404.03368,4/4/24,"1 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2404.03368 [cs, eess]",#done; #forecasting
2024,"Teng, Jing; Jiang, Yajun; Shi, Ruifeng",Graphdeformer: A Spatio-Temporal Model Integrating Graph Neural Network and Transformer for Wind Power Forecasting,https://papers.ssrn.com/abstract=4750487,3/6/24,0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; #forecasting
2024,"Takiddin, Abdulrahman; Ismail, Muhammad; Atat, Rachad; Serpedin, Erchin",Spatio-temporal Graph-Based Generation and Detection of Adversarial False Data Injection Evasion Attacks in Smart Grids,https://ieeexplore.ieee.org/document/10684843/,2024-12,9 citations (Semantic Scholar/DOI) [2025-11-26] 3 citations (Semantic Scholar/DOI) [2025-04-09] 2 citations (Crossref/DOI) [2025-04-07] 1 citations (Crossref) [2025-04-02],#done; Graph neural networks; Auto encoders; Smart grid; Cyber attacks; Cyber-attacks; False data injection attacks; graph autoencoder; Graph autoencoder; machine learning; Machine-learning; Smart power grids; cyberattacks; smart grids; graph neural networks (GNNs); false data injection attacks (FDIAs); False data injection; Cyber-physical system securities; Cyber-physical systems security; Evasion attack; evasion attacks; #cybersecurity
2024,"Taghizadeh, Mehdi; Khayambashi, Kamiar; Hasnat, Md Abul; Alemazkoor, Negin",Multi-fidelity Graph Neural Networks for Efficient Power Flow Analysis under High-Dimensional Demand and Renewable Generation Uncertainty,https://www.researchsquare.com/article/rs-4745466/v1,7/17/24,0 citations (Crossref/DOI) [2025-04-07],#done; #grid-analysis
2023,"Surani, Adrian-Petru; Sahetiya, Rahul",Graph Convolutional Neural Networks for Optimal Power Flow Locational Marginal Price,http://arxiv.org/abs/2301.09038,1/21/23,"0 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2301.09038 [cs, eess]",#done; #optimization-control
2024,"Sun, Xianzhuo; Bai, Runze; Zhang, Wen; Qiu, Jing; Tao, Yuechuan; Lai, Shuying",Learning Assisted Optimal Scheduling of Integrated Gas and Electricity Networks Under High Penetration of Renewable Energy,https://papers.ssrn.com/abstract=4770370,3/23/24,0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; #optimization-control
2024,"Solheim, Øystein Rognes; Presthus, Gunnhild Svandal; Høverstad, Boye Annfelt; Korpås, Magnus",Visualizing graph neural networks in order to learn general concepts in power systems,https://linkinghub.elsevier.com/retrieve/pii/S0378779624006035,2024-12,2 citations (Semantic Scholar/DOI) [2025-11-26] 1 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; Graph neural networks; Power systems; Power; Neural-networks; Reinforcement learnings; Complex decision; Decision-making systems; Internal representation; Interpretability; Learn+; Power system; Reinforcement learning; Visualization; #data-management
2021,"Silva, Arlei; Kocayusufoglu, Furkan; Jafarpour, Saber; Bullo, Francesco; Swami, Ananthram; Singh, Ambuj",COMBINING PHYSICS AND MACHINE LEARNING FOR NETWORK FLOW ESTIMATION,,2021,,#done; notion; #optimization-control; #grid-analysis
2024,"Saeed, Faisal; Rehman, Abdul; Shah, Hasnain Ali; Diyan, Muhammad; Jie, Chen; Kang, Jae-Mo",Smartformer: Graph-Based Transformer Model for Energy Load Forecasting,https://papers.ssrn.com/abstract=4893923,7/13/24,0 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; #forecasting
2021,"Ringsquandl, Martin; Sellami, Houssem; Hildebrandt, Marcel; Beyer, Dagmar; Henselmeyer, Sylwia; Weber, Sebastian; Joblin, Mitchell",Power to the Relational Inductive Bias: Graph Neural Networks in Electrical Power Grids,https://dl.acm.org/doi/10.1145/3459637.3482464,10/26/21,3 citations (Semantic Scholar/DOI) [2025-11-26] 16 citations (Semantic Scholar/DOI) [2025-04-09] 7 citations (Crossref/DOI) [2025-04-07] 7 citations (Crossref) [2025-04-02],#done; Power grids; graph neural networks; Graph neural networks; Power; Smart grid; Electric load flow; power grids; Learning systems; notion; Smart power grids; Electric power transmission networks; Message passing; Real-world; Electrical power; High potential; Inductive bias; inductive learning; Inductive learning; Potential impacts; #methodology
2020,"Retiere, Nicolas; Ha, Dinh Truc; Caputo, Jean-Guy",Spectral Graph Analysis of the Geometry of Power Flows in Transmission Networks,https://ieeexplore.ieee.org/document/8832211/,2020-06,24 citations (Semantic Scholar/DOI) [2025-11-26] 22 citations (Semantic Scholar/DOI) [2025-04-09] 15 citations (Crossref/DOI) [2025-04-07] 15 citations (Crossref) [2025-04-02],#done; notion; #grid-analysis
2024,"Ramesh, Arun Venkatesh; Li, Xingpeng",Spatio-Temporal Deep Learning-Assisted Reduced Security-Constrained Unit Commitment,https://ieeexplore.ieee.org/document/10246391/,2024-03,20 citations (Semantic Scholar/DOI) [2025-04-09] 13 citations (Crossref/DOI) [2025-04-07] 13 citations (Crossref) [2025-04-02],#done; notion; #optimization-control
2023,"Qin, Jingtao; Yu, Nanpeng",Solve Large-scale Unit Commitment Problems by Physics-informed Graph Learning,http://arxiv.org/abs/2311.15216,11/26/23,"6 citations (Semantic Scholar/arXiv) [2025-11-26] 1 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2311.15216 [cs, eess]",#done; #optimization-control
2023,"Qin, Jingtao; Yu, Nanpeng",Reconfigure Distribution Network with Physics-informed Graph Neural Network,https://ieeexplore.ieee.org/document/10407802/,10/23/23,0 citations (Semantic Scholar/DOI) [2025-04-09] 2 citations (Crossref/DOI) [2025-04-07] 0 citations (Crossref) [2025-04-02],#done; notion; #optimization-control
2022,"Pham, Thuan; Li, Xingpeng",Reduced Optimal Power Flow Using Graph Neural Network,https://ieeexplore.ieee.org/document/10012256/,10/9/22,28 citations (Semantic Scholar/DOI) [2025-11-26] 21 citations (Semantic Scholar/DOI) [2025-04-09] 9 citations (Crossref/DOI) [2025-04-07] 9 citations (Crossref) [2025-04-02],#done; notion; #optimization-control
,"Pei, Hao; Lin, Si; Li, Chuanfu; Wang, Che; Chen, Haoming; Li, Sizhe",Dynamic Fault Characteristics Evaluation in Power Grid,,,,#done; #faults-reliability
